,Дата,Адрес,Оксид углерода,Оксид азота,Диоксид азота,Диоксид серы,Озон,Взвешенные частицы PM10,Взвешенные частицы PM2.5,lon,lat
0,23_07_2019,"Россия, Санкт-Петербург, Московский проспект, дом 19",0.1,0.1,0.9,0.05,,,,30.31976,59.87203
1,23_07_2019,"Россия, Санкт-Петербург, Средний проспект, дом 74",0.1,0.2,1.0,,0.7,,0.4,30.28547,59.94592
2,23_07_2019,"Россия, Санкт-Петербург, проспект КИМа, дом 26 лит. А",0.1,0.4,1.1,0.1,,,,30.24221,59.95332
3,23_07_2019,"Россия, Санкт-Петербург, улица Карбышева, дом 7",0.1,0.3,1.1,,,0.2,,30.35872,59.99687
4,23_07_2019,"Россия, Санкт-Петербург, улица Ольги Форш, дом 6",0.1,0.2,0.7,,1.0,0.2,,30.39148,60.04297
5,23_07_2019,"Россия, Санкт-Петербург, проспект Маршала Жукова, дом 30, корп. 3",0.1,0.5,0.3,0.1,,0.7,,30.22986,59.85633
6,23_07_2019,"Россия, город Колпино, Красная улица, дом 1а",0.1,0.3,0.7,0.1,0.6,0.2,,30.60285,59.74381
7,23_07_2019,"Россия, поселок Металлострой, Железнодорожная улица, дом 13",0.1,0.2,0.4,0.05,1.2,0.3,,30.56708,59.81286
8,23_07_2019,"Россия, Санкт-Петербург, Малоохтинский проспект, дом 98",0.1,0.3,0.7,0.1,,0.2,,30.40106,59.93159
9,23_07_2019,"Россия, Санкт-Петербург, Индустриальный проспект, д.64",0.1,0.5,0.7,0.1,,0.3,,30.47274,59.94882
10,23_07_2019,"Россия, Санкт-Петербург, Уткин проспект, д.16",0.05,0.2,0.5,,0.8,0.05,,30.42562,59.93601
11,23_07_2019,"Россия, Санкт-Петербург, Волхонское шоссе, д.116, корп. 3",0.1,0.1,0.6,,0.6,0.2,,30.17530,59.79351
12,23_07_2019,"Россия, город Кронштадт, улица Ильмянинова, дом 4",,0.1,0.4,0.05,1.3,,0.5,29.78242,59.99420
